inv_date,inv_id,cus_id,product_id,sell_price,cost_price,quantity,total_price,total_cost,profit
2024-07-18,inv0007,cus00929,pro0017,1389.38,1083,5,6946.900000000001,5415,1531.9000000000005
2025-09-25,inv0008,cus00184,pro0027,1025.26,877,2,2050.52,1754,296.52
2025-09-25,inv0008,cus00184,pro0017,1389.38,1083,3,4168.14,3249,919.1400000000003
2025-09-25,inv0008,cus00184,pro0015,1723.69,1246,5,8618.45,6230,2388.4500000000007
2025-09-25,inv0008,cus00184,pro0003,1311.44,1175,2,2622.88,2350,272.8800000000001
2025-04-18,inv0009,cus00180,pro0031,1593.57,1347,5,7967.849999999999,6735,1232.8499999999995
2025-04-18,inv0009,cus00180,pro0021,1582.39,1334,3,4747.17,4002,745.1700000000001
2025-04-18,inv0009,cus00180,pro0008,1064.71,836,2,2129.42,1672,457.4200000000001
2025-04-18,inv0009,cus00180,pro0028,1628.92,1392,5,8144.6,6960,1184.6000000000004
2025-04-18,inv0009,cus00180,pro0025,527.73,413,5,2638.65,2065,573.6500000000001
2025-06-15,inv0010,cus00264,pro0007,948.66,766,4,3794.64,3064,730.6399999999999
2025-06-15,inv0010,cus00264,pro0035,736.36,661,4,2945.44,2644,301.44000000000005
2025-06-15,inv0010,cus00264,pro0004,2519.62,2184,4,10078.48,8736,1342.4799999999996
2025-06-15,inv0010,cus00264,pro0017,1389.38,1083,1,1389.38,1083,306.3800000000001
2025-06-15,inv0010,cus00264,pro0006,1012.59,826,4,4050.36,3304,746.3600000000001
2025-06-07,inv0011,cus00173,pro0037,1598.22,1427,3,4794.66,4281,513.6599999999999
2025-06-07,inv0011,cus00173,pro0058,1221.99,983,1,1221.99,983,238.99
2025-06-07,inv0011,cus00173,pro0048,1655.4,1341,4,6621.6,5364,1257.6000000000004
2025-06-07,inv0011,cus00173,pro0017,1389.38,1083,1,1389.38,1083,306.3800000000001
2025-08-06,inv0012,cus00525,pro0024,398.91,354,3,1196.73,1062,134.73000000000002
2025-08-06,inv0012,cus00525,pro0055,2265.02,1975,5,11325.1,9875,1450.1000000000004
2023-07-01,inv0013,cus00685,pro0010,1256.56,1012,1,1256.56,1012,244.55999999999995
2023-07-01,inv0013,cus00685,pro0001,448.85,355,5,2244.25,1775,469.25
2023-07-01,inv0013,cus00685,pro0029,1208.41,1009,2,2416.82,2018,398.82000000000016
2023-07-01,inv0013,cus00685,pro0021,1582.39,1334,2,3164.78,2668,496.7800000000002
2023-07-01,inv0013,cus00685,pro0054,1102.77,952,1,1102.77,952,150.76999999999998
2025-01-04,inv0014,cus00488,pro0009,535.3,456,2,1070.6,912,158.5999999999999
2025-01-04,inv0014,cus00488,pro0053,954.94,823,2,1909.88,1646,263.8800000000001
2025-01-04,inv0014,cus00488,pro0002,1145.01,914,2,2290.02,1828,462.02
2023-12-05,inv0015,cus00347,pro0046,1414.5,1163,4,5658.0,4652,1006.0
2023-12-05,inv0015,cus00347,pro0020,1509.26,1200,1,1509.26,1200,309.26
2023-03-15,inv0016,cus00028,pro0002,1145.01,914,1,1145.01,914,231.01
2023-03-15,inv0016,cus00028,pro0049,2456.42,1945,5,12282.1,9725,2557.1000000000004
2023-03-15,inv0016,cus00028,pro0056,1059.7,878,4,4238.8,3512,726.8000000000002
2023-12-14,inv0017,cus00908,pro0020,1509.26,1200,4,6037.04,4800,1237.04
2023-12-14,inv0017,cus00908,pro0037,1598.22,1427,3,4794.66,4281,513.6599999999999
2023-12-14,inv0017,cus00908,pro0035,736.36,661,4,2945.44,2644,301.44000000000005
2023-12-14,inv0017,cus00908,pro0014,392.56,286,3,1177.68,858,319.68000000000006
2023-12-14,inv0017,cus00908,pro0043,1350.41,1151,5,6752.05,5755,997.0500000000002
2025-03-15,inv0018,cus00748,pro0029,1208.41,1009,5,6042.05,5045,997.0500000000002
2025-11-08,inv0019,cus00942,pro0010,1256.56,1012,4,5026.24,4048,978.2399999999998
2024-03-30,inv0020,cus00112,pro0051,2410.75,1947,5,12053.75,9735,2318.75
2024-03-30,inv0020,cus00112,pro0033,1726.24,1433,2,3452.48,2866,586.48
2024-03-30,inv0020,cus00112,pro0012,1964.23,1752,2,3928.46,3504,424.46000000000004
2024-03-30,inv0020,cus00112,pro0036,886.03,734,5,4430.15,3670,760.1499999999996
2024-03-30,inv0020,cus00112,pro0053,954.94,823,3,2864.82,2469,395.82000000000016
2025-02-18,inv0021,cus00298,pro0018,668.79,538,3,2006.37,1614,392.3699999999999
2025-02-18,inv0021,cus00298,pro0056,1059.7,878,3,3179.1000000000004,2634,545.1000000000004
2025-02-18,inv0021,cus00298,pro0013,1785.78,1575,4,7143.12,6300,843.1199999999999
2024-01-05,inv0022,cus00336,pro0057,775.49,646,1,775.49,646,129.49
2024-01-05,inv0022,cus00336,pro0016,1144.49,1011,1,1144.49,1011,133.49
2024-01-05,inv0022,cus00336,pro0001,448.85,355,4,1795.4,1420,375.4000000000001
2023-11-04,inv0023,cus00282,pro0049,2456.42,1945,5,12282.1,9725,2557.1000000000004
2023-11-04,inv0023,cus00282,pro0021,1582.39,1334,5,7911.950000000001,6670,1241.9500000000007
2023-11-04,inv0023,cus00282,pro0054,1102.77,952,4,4411.08,3808,603.0799999999999
2023-11-04,inv0023,cus00282,pro0001,448.85,355,1,448.85,355,93.85000000000002
2023-06-03,inv0024,cus00962,pro0052,2358.63,1996,1,2358.63,1996,362.6300000000001
2023-06-03,inv0024,cus00962,pro0032,837.01,721,5,4185.05,3605,580.0500000000002
2023-06-03,inv0024,cus00962,pro0029,1208.41,1009,4,4833.64,4036,797.6400000000003
2023-06-03,inv0024,cus00962,pro0024,398.91,354,1,398.91,354,44.910000000000025
2024-12-06,inv0025,cus00730,pro0043,1350.41,1151,4,5401.64,4604,797.6400000000003
2024-12-06,inv0025,cus00730,pro0003,1311.44,1175,5,6557.200000000001,5875,682.2000000000007
2024-12-06,inv0025,cus00730,pro0010,1256.56,1012,2,2513.12,2024,489.1199999999999
2024-12-06,inv0025,cus00730,pro0023,553.45,437,2,1106.9,874,232.9000000000001
2024-12-06,inv0025,cus00730,pro0054,1102.77,952,4,4411.08,3808,603.0799999999999
2024-12-24,inv0026,cus00719,pro0052,2358.63,1996,1,2358.63,1996,362.6300000000001
2024-12-24,inv0026,cus00719,pro0024,398.91,354,4,1595.64,1416,179.6400000000001
2024-12-24,inv0026,cus00719,pro0022,2551.95,2184,3,7655.849999999999,6552,1103.8499999999995
2024-12-24,inv0026,cus00719,pro0039,1139.92,946,1,1139.92,946,193.92000000000007
2024-12-24,inv0026,cus00719,pro0045,261.7,218,3,785.0999999999999,654,131.0999999999999
2025-01-05,inv0027,cus00329,pro0054,1102.77,952,1,1102.77,952,150.76999999999998
2025-01-05,inv0027,cus00329,pro0033,1726.24,1433,2,3452.48,2866,586.48
2025-01-05,inv0027,cus00329,pro0029,1208.41,1009,4,4833.64,4036,797.6400000000003
2025-01-05,inv0027,cus00329,pro0039,1139.92,946,2,2279.84,1892,387.84000000000015
2025-01-05,inv0027,cus00329,pro0049,2456.42,1945,1,2456.42,1945,511.4200000000001
2025-03-04,inv0028,cus00157,pro0049,2456.42,1945,4,9825.68,7780,2045.6800000000003
2025-03-04,inv0028,cus00157,pro0034,845.29,714,5,4226.45,3570,656.4499999999998
2025-03-04,inv0028,cus00157,pro0026,1097.18,918,2,2194.36,1836,358.3600000000001
2025-03-04,inv0028,cus00157,pro0044,611.15,490,1,611.15,490,121.14999999999998
2023-10-11,inv0029,cus00796,pro0054,1102.77,952,1,1102.77,952,150.76999999999998
2023-10-11,inv0029,cus00796,pro0041,2823.78,2379,1,2823.78,2379,444.7800000000002
2024-10-31,inv0030,cus00060,pro0023,553.45,437,5,2767.25,2185,582.25
2024-10-31,inv0030,cus00060,pro0037,1598.22,1427,1,1598.22,1427,171.22000000000003
2024-10-13,inv0031,cus00796,pro0030,1030.23,922,3,3090.69,2766,324.69000000000005
2024-10-13,inv0031,cus00796,pro0031,1593.57,1347,1,1593.57,1347,246.56999999999994
2024-10-13,inv0031,cus00796,pro0049,2456.42,1945,5,12282.1,9725,2557.1000000000004
2025-10-22,inv0032,cus00070,pro0013,1785.78,1575,5,8928.9,7875,1053.8999999999996
2025-08-13,inv0033,cus00326,pro0015,1723.69,1246,1,1723.69,1246,477.69000000000005
2025-08-13,inv0033,cus00326,pro0025,527.73,413,1,527.73,413,114.73000000000002
2025-08-13,inv0033,cus00326,pro0012,1964.23,1752,4,7856.92,7008,848.9200000000001
2025-04-10,inv0034,cus00742,pro0012,1964.23,1752,5,9821.15,8760,1061.1499999999996
2025-04-10,inv0034,cus00742,pro0032,837.01,721,5,4185.05,3605,580.0500000000002
2025-01-11,inv0035,cus00940,pro0029,1208.41,1009,2,2416.82,2018,398.82000000000016
2025-01-11,inv0035,cus00940,pro0059,2336.77,2123,3,7010.3099999999995,6369,641.3099999999995
2025-01-11,inv0035,cus00940,pro0017,1389.38,1083,3,4168.14,3249,919.1400000000003
2023-07-08,inv0036,cus00754,pro0020,1509.26,1200,4,6037.04,4800,1237.04
2023-07-08,inv0036,cus00754,pro0059,2336.77,2123,2,4673.54,4246,427.53999999999996
2023-07-08,inv0036,cus00754,pro0034,845.29,714,1,845.29,714,131.28999999999996
2023-07-08,inv0036,cus00754,pro0055,2265.02,1975,2,4530.04,3950,580.04
2023-11-17,inv0037,cus00714,pro0048,1655.4,1341,2,3310.8,2682,628.8000000000002
2025-06-23,inv0038,cus00667,pro0031,1593.57,1347,1,1593.57,1347,246.56999999999994
2025-06-23,inv0038,cus00667,pro0053,954.94,823,1,954.94,823,131.94000000000005
2025-06-23,inv0038,cus00667,pro0058,1221.99,983,2,2443.98,1966,477.98
2025-06-23,inv0038,cus00667,pro0041,2823.78,2379,2,5647.56,4758,889.5600000000004
2025-06-23,inv0038,cus00667,pro0052,2358.63,1996,4,9434.52,7984,1450.5200000000004
2024-12-13,inv0039,cus00035,pro0025,527.73,413,3,1583.19,1239,344.19000000000005
2024-12-13,inv0039,cus00035,pro0055,2265.02,1975,2,4530.04,3950,580.04
2024-12-13,inv0039,cus00035,pro0044,611.15,490,3,1833.4499999999998,1470,363.4499999999998
2023-10-29,inv0040,cus00030,pro0052,2358.63,1996,5,11793.150000000001,9980,1813.1500000000015
2023-10-29,inv0040,cus00030,pro0009,535.3,456,5,2676.5,2280,396.5
2024-11-26,inv0041,cus00314,pro0045,261.7,218,5,1308.5,1090,218.5
2024-11-26,inv0041,cus00314,pro0059,2336.77,2123,4,9347.08,8492,855.0799999999999
2024-11-26,inv0041,cus00314,pro0004,2519.62,2184,5,12598.099999999999,10920,1678.0999999999985
2024-11-26,inv0041,cus00314,pro0049,2456.42,1945,5,12282.1,9725,2557.1000000000004
2024-11-26,inv0041,cus00314,pro0011,1656.07,1469,3,4968.21,4407,561.21
2025-07-26,inv0042,cus00641,pro0003,1311.44,1175,3,3934.32,3525,409.32000000000016
2024-06-06,inv0043,cus00516,pro0021,1582.39,1334,5,7911.950000000001,6670,1241.9500000000007
2025-10-14,inv0044,cus00034,pro0053,954.94,823,4,3819.76,3292,527.7600000000002
2023-08-15,inv0045,cus00535,pro0046,1414.5,1163,1,1414.5,1163,251.5
2023-08-15,inv0045,cus00535,pro0030,1030.23,922,3,3090.69,2766,324.69000000000005
2023-11-25,inv0046,cus00246,pro0054,1102.77,952,2,2205.54,1904,301.53999999999996
2023-11-25,inv0046,cus00246,pro0007,948.66,766,4,3794.64,3064,730.6399999999999
2023-11-25,inv0046,cus00246,pro0004,2519.62,2184,5,12598.099999999999,10920,1678.0999999999985
2023-11-25,inv0046,cus00246,pro0032,837.01,721,3,2511.0299999999997,2163,348.02999999999975
2023-12-11,inv0047,cus00766,pro0044,611.15,490,1,611.15,490,121.14999999999998
2023-12-11,inv0047,cus00766,pro0020,1509.26,1200,4,6037.04,4800,1237.04
2023-12-11,inv0047,cus00766,pro0048,1655.4,1341,5,8277.0,6705,1572.0
2023-12-11,inv0047,cus00766,pro0057,775.49,646,1,775.49,646,129.49
2023-12-11,inv0047,cus00766,pro0007,948.66,766,4,3794.64,3064,730.6399999999999
2025-08-30,inv0048,cus00451,pro0018,668.79,538,2,1337.58,1076,261.5799999999999
2025-08-30,inv0048,cus00451,pro0026,1097.18,918,5,5485.900000000001,4590,895.9000000000005
2025-08-30,inv0048,cus00451,pro0027,1025.26,877,5,5126.3,4385,741.3000000000002
2025-08-30,inv0048,cus00451,pro0052,2358.63,1996,1,2358.63,1996,362.6300000000001
2025-08-30,inv0048,cus00451,pro0037,1598.22,1427,4,6392.88,5708,684.8800000000001
2024-07-16,inv0049,cus00063,pro0030,1030.23,922,1,1030.23,922,108.23000000000002
2024-07-16,inv0049,cus00063,pro0014,392.56,286,5,1962.8,1430,532.8
2024-07-16,inv0049,cus00063,pro0058,1221.99,983,1,1221.99,983,238.99
2024-07-16,inv0049,cus00063,pro0016,1144.49,1011,2,2288.98,2022,266.98
2024-07-16,inv0049,cus00063,pro0034,845.29,714,5,4226.45,3570,656.4499999999998
2025-12-01,inv0050,cus00361,pro0012,1964.23,1752,4,7856.92,7008,848.9200000000001
2025-12-01,inv0050,cus00361,pro0005,1737.61,1369,1,1737.61,1369,368.6099999999999
2025-12-01,inv0050,cus00361,pro0049,2456.42,1945,3,7369.26,5835,1534.2600000000002
2025-12-01,inv0050,cus00361,pro0006,1012.59,826,3,3037.77,2478,559.77
2025-12-01,inv0050,cus00361,pro0027,1025.26,877,2,2050.52,1754,296.52
2023-08-20,inv0051,cus00949,pro0021,1582.39,1334,1,1582.39,1334,248.3900000000001
2023-08-20,inv0051,cus00949,pro0054,1102.77,952,2,2205.54,1904,301.53999999999996
2023-08-20,inv0051,cus00949,pro0025,527.73,413,4,2110.92,1652,458.9200000000001
2023-08-20,inv0051,cus00949,pro0005,1737.61,1369,3,5212.83,4107,1105.83
2023-08-20,inv0051,cus00949,pro0017,1389.38,1083,1,1389.38,1083,306.3800000000001
2024-05-09,inv0052,cus00697,pro0054,1102.77,952,2,2205.54,1904,301.53999999999996
2024-05-09,inv0052,cus00697,pro0013,1785.78,1575,5,8928.9,7875,1053.8999999999996
2024-07-08,inv0053,cus00136,pro0053,954.94,823,1,954.94,823,131.94000000000005
2024-07-08,inv0053,cus00136,pro0002,1145.01,914,1,1145.01,914,231.01
2023-08-02,inv0054,cus00274,pro0004,2519.62,2184,3,7558.86,6552,1006.8599999999997
2023-08-02,inv0054,cus00274,pro0036,886.03,734,2,1772.06,1468,304.05999999999995
2023-08-02,inv0054,cus00274,pro0028,1628.92,1392,3,4886.76,4176,710.7600000000002
2023-08-02,inv0054,cus00274,pro0037,1598.22,1427,5,7991.1,7135,856.1000000000004
2023-08-02,inv0054,cus00274,pro0046,1414.5,1163,5,7072.5,5815,1257.5
2024-11-26,inv0055,cus00472,pro0026,1097.18,918,1,1097.18,918,179.18000000000006
2024-11-26,inv0055,cus00472,pro0044,611.15,490,4,2444.6,1960,484.5999999999999
2024-11-26,inv0055,cus00472,pro0024,398.91,354,4,1595.64,1416,179.6400000000001
2024-11-26,inv0055,cus00472,pro0051,2410.75,1947,5,12053.75,9735,2318.75
2025-03-09,inv0056,cus00460,pro0004,2519.62,2184,3,7558.86,6552,1006.8599999999997
2025-03-09,inv0056,cus00460,pro0022,2551.95,2184,1,2551.95,2184,367.9499999999998
2025-05-27,inv0057,cus00067,pro0009,535.3,456,3,1605.8999999999999,1368,237.89999999999986
2025-05-27,inv0057,cus00067,pro0012,1964.23,1752,1,1964.23,1752,212.23000000000002
2025-05-27,inv0057,cus00067,pro0045,261.7,218,3,785.0999999999999,654,131.0999999999999
2025-05-27,inv0057,cus00067,pro0034,845.29,714,2,1690.58,1428,262.5799999999999
2025-05-27,inv0057,cus00067,pro0058,1221.99,983,1,1221.99,983,238.99
2023-10-09,inv0058,cus00368,pro0028,1628.92,1392,5,8144.6,6960,1184.6000000000004
2023-10-09,inv0058,cus00368,pro0012,1964.23,1752,1,1964.23,1752,212.23000000000002
2024-07-26,inv0059,cus00823,pro0022,2551.95,2184,2,5103.9,4368,735.8999999999996
2024-07-26,inv0059,cus00823,pro0043,1350.41,1151,3,4051.2300000000005,3453,598.2300000000005
2024-07-26,inv0059,cus00823,pro0001,448.85,355,3,1346.5500000000002,1065,281.5500000000002
2024-07-26,inv0059,cus00823,pro0052,2358.63,1996,5,11793.150000000001,9980,1813.1500000000015
2024-07-26,inv0059,cus00823,pro0011,1656.07,1469,3,4968.21,4407,561.21
2023-11-23,inv0060,cus00478,pro0008,1064.71,836,5,5323.55,4180,1143.5500000000002
2023-11-23,inv0060,cus00478,pro0005,1737.61,1369,4,6950.44,5476,1474.4399999999996
2024-12-30,inv0061,cus00660,pro0013,1785.78,1575,5,8928.9,7875,1053.8999999999996
2025-10-27,inv0062,cus00700,pro0003,1311.44,1175,4,5245.76,4700,545.7600000000002
2025-10-27,inv0062,cus00700,pro0056,1059.7,878,3,3179.1000000000004,2634,545.1000000000004
2024-01-05,inv0063,cus00397,pro0005,1737.61,1369,4,6950.44,5476,1474.4399999999996
2025-02-20,inv0064,cus00948,pro0025,527.73,413,5,2638.65,2065,573.6500000000001
2025-07-03,inv0065,cus00449,pro0008,1064.71,836,5,5323.55,4180,1143.5500000000002
2023-07-20,inv0066,cus00545,pro0038,1234.8,1105,4,4939.2,4420,519.1999999999998
2023-07-20,inv0066,cus00545,pro0026,1097.18,918,2,2194.36,1836,358.3600000000001
2023-07-20,inv0066,cus00545,pro0031,1593.57,1347,1,1593.57,1347,246.56999999999994
2023-07-20,inv0066,cus00545,pro0012,1964.23,1752,2,3928.46,3504,424.46000000000004
2023-07-20,inv0066,cus00545,pro0008,1064.71,836,1,1064.71,836,228.71000000000004
2023-05-22,inv0067,cus00661,pro0011,1656.07,1469,4,6624.28,5876,748.2799999999997
2023-05-22,inv0067,cus00661,pro0047,2080.09,1702,3,6240.27,5106,1134.2700000000004
2024-02-20,inv0068,cus00045,pro0040,1379.33,1135,1,1379.33,1135,244.32999999999993
2024-02-20,inv0068,cus00045,pro0050,1322.69,1014,1,1322.69,1014,308.69000000000005
2023-02-25,inv0069,cus00999,pro0014,392.56,286,5,1962.8,1430,532.8
2023-02-25,inv0069,cus00999,pro0051,2410.75,1947,1,2410.75,1947,463.75
2023-02-25,inv0069,cus00999,pro0035,736.36,661,5,3681.8,3305,376.8000000000002
2023-02-25,inv0069,cus00999,pro0023,553.45,437,1,553.45,437,116.45000000000005
2024-10-09,inv0070,cus00042,pro0051,2410.75,1947,3,7232.25,5841,1391.25
2024-10-09,inv0070,cus00042,pro0021,1582.39,1334,3,4747.17,4002,745.1700000000001
2024-10-09,inv0070,cus00042,pro0015,1723.69,1246,2,3447.38,2492,955.3800000000001
2024-10-09,inv0070,cus00042,pro0013,1785.78,1575,5,8928.9,7875,1053.8999999999996
2024-10-09,inv0070,cus00042,pro0052,2358.63,1996,1,2358.63,1996,362.6300000000001
2023-06-24,inv0071,cus00976,pro0034,845.29,714,3,2535.87,2142,393.8699999999999
2023-06-24,inv0071,cus00976,pro0050,1322.69,1014,2,2645.38,2028,617.3800000000001
2023-06-24,inv0071,cus00976,pro0020,1509.26,1200,5,7546.3,6000,1546.3000000000002
2023-06-24,inv0071,cus00976,pro0018,668.79,538,1,668.79,538,130.78999999999996
2024-02-17,inv0072,cus00859,pro0037,1598.22,1427,4,6392.88,5708,684.8800000000001
2024-08-15,inv0073,cus00756,pro0041,2823.78,2379,3,8471.34,7137,1334.3400000000001
2024-08-15,inv0073,cus00756,pro0037,1598.22,1427,1,1598.22,1427,171.22000000000003
2024-08-15,inv0073,cus00756,pro0006,1012.59,826,4,4050.36,3304,746.3600000000001
2025-03-24,inv0074,cus00307,pro0047,2080.09,1702,3,6240.27,5106,1134.2700000000004
2025-03-24,inv0074,cus00307,pro0059,2336.77,2123,2,4673.54,4246,427.53999999999996
2024-11-26,inv0075,cus00149,pro0044,611.15,490,3,1833.4499999999998,1470,363.4499999999998
2025-12-24,inv0076,cus00238,pro0013,1785.78,1575,4,7143.12,6300,843.1199999999999
2025-04-21,inv0077,cus00368,pro0052,2358.63,1996,1,2358.63,1996,362.6300000000001
2025-04-21,inv0077,cus00368,pro0019,1174.0,951,4,4696.0,3804,892.0
2025-04-21,inv0077,cus00368,pro0054,1102.77,952,5,5513.85,4760,753.8500000000004
2025-04-21,inv0077,cus00368,pro0009,535.3,456,5,2676.5,2280,396.5
2025-04-21,inv0077,cus00368,pro0050,1322.69,1014,2,2645.38,2028,617.3800000000001
2024-06-30,inv0078,cus00762,pro0011,1656.07,1469,3,4968.21,4407,561.21
2024-06-30,inv0078,cus00762,pro0012,1964.23,1752,3,5892.6900000000005,5256,636.6900000000005
2024-06-30,inv0078,cus00762,pro0039,1139.92,946,1,1139.92,946,193.92000000000007
2025-03-12,inv0079,cus00386,pro0026,1097.18,918,3,3291.54,2754,537.54
2025-03-12,inv0079,cus00386,pro0037,1598.22,1427,1,1598.22,1427,171.22000000000003
2025-03-12,inv0079,cus00386,pro0005,1737.61,1369,1,1737.61,1369,368.6099999999999
2025-03-12,inv0079,cus00386,pro0033,1726.24,1433,4,6904.96,5732,1172.96
2024-12-17,inv0080,cus00695,pro0042,494.59,403,3,1483.77,1209,274.77
2024-12-17,inv0080,cus00695,pro0013,1785.78,1575,2,3571.56,3150,421.55999999999995
2024-12-17,inv0080,cus00695,pro0048,1655.4,1341,4,6621.6,5364,1257.6000000000004
2024-12-17,inv0080,cus00695,pro0035,736.36,661,5,3681.8,3305,376.8000000000002
2023-07-10,inv0081,cus00794,pro0049,2456.42,1945,1,2456.42,1945,511.4200000000001
2023-07-10,inv0081,cus00794,pro0012,1964.23,1752,2,3928.46,3504,424.46000000000004
2023-07-10,inv0081,cus00794,pro0040,1379.33,1135,2,2758.66,2270,488.65999999999985
2025-09-22,inv0082,cus00918,pro0012,1964.23,1752,2,3928.46,3504,424.46000000000004
2025-09-22,inv0082,cus00918,pro0019,1174.0,951,2,2348.0,1902,446.0
2025-09-22,inv0082,cus00918,pro0058,1221.99,983,3,3665.9700000000003,2949,716.9700000000003
2025-09-22,inv0082,cus00918,pro0041,2823.78,2379,2,5647.56,4758,889.5600000000004
2025-09-22,inv0082,cus00918,pro0028,1628.92,1392,1,1628.92,1392,236.92000000000007
2023-07-04,inv0083,cus00462,pro0034,845.29,714,1,845.29,714,131.28999999999996
2023-07-04,inv0083,cus00462,pro0042,494.59,403,5,2472.95,2015,457.9499999999998
2023-07-04,inv0083,cus00462,pro0004,2519.62,2184,4,10078.48,8736,1342.4799999999996
2023-07-01,inv0084,cus00764,pro0012,1964.23,1752,1,1964.23,1752,212.23000000000002
2025-04-26,inv0085,cus00653,pro0029,1208.41,1009,3,3625.2300000000005,3027,598.2300000000005
2023-08-13,inv0086,cus00761,pro0047,2080.09,1702,4,8320.36,6808,1512.3600000000006
2023-08-13,inv0086,cus00761,pro0043,1350.41,1151,2,2700.82,2302,398.82000000000016
2023-08-13,inv0086,cus00761,pro0028,1628.92,1392,1,1628.92,1392,236.92000000000007
2023-08-13,inv0086,cus00761,pro0022,2551.95,2184,2,5103.9,4368,735.8999999999996
2025-05-29,inv0087,cus00983,pro0021,1582.39,1334,4,6329.56,5336,993.5600000000004
2024-02-13,inv0088,cus00792,pro0005,1737.61,1369,1,1737.61,1369,368.6099999999999
2024-07-18,inv0089,cus00269,pro0013,1785.78,1575,3,5357.34,4725,632.3400000000001
2024-07-18,inv0089,cus00269,pro0016,1144.49,1011,1,1144.49,1011,133.49
2024-07-18,inv0089,cus00269,pro0020,1509.26,1200,4,6037.04,4800,1237.04
2025-04-02,inv0090,cus00022,pro0001,448.85,355,4,1795.4,1420,375.4000000000001
2025-04-02,inv0090,cus00022,pro0010,1256.56,1012,2,2513.12,2024,489.1199999999999
2025-04-02,inv0090,cus00022,pro0039,1139.92,946,1,1139.92,946,193.92000000000007
2025-04-02,inv0090,cus00022,pro0037,1598.22,1427,5,7991.1,7135,856.1000000000004
2023-10-13,inv0091,cus00585,pro0030,1030.23,922,2,2060.46,1844,216.46000000000004
2024-12-12,inv0092,cus00007,pro0057,775.49,646,2,1550.98,1292,258.98
2024-12-12,inv0092,cus00007,pro0035,736.36,661,5,3681.8,3305,376.8000000000002
2024-12-12,inv0092,cus00007,pro0001,448.85,355,3,1346.5500000000002,1065,281.5500000000002
2024-12-12,inv0092,cus00007,pro0022,2551.95,2184,1,2551.95,2184,367.9499999999998
2024-04-06,inv0093,cus00570,pro0055,2265.02,1975,4,9060.08,7900,1160.08
2024-04-06,inv0093,cus00570,pro0019,1174.0,951,5,5870.0,4755,1115.0
2024-04-06,inv0093,cus00570,pro0004,2519.62,2184,3,7558.86,6552,1006.8599999999997
2024-04-06,inv0093,cus00570,pro0040,1379.33,1135,4,5517.32,4540,977.3199999999997
2024-09-08,inv0094,cus00897,pro0048,1655.4,1341,3,4966.200000000001,4023,943.2000000000007
2024-09-08,inv0094,cus00897,pro0046,1414.5,1163,1,1414.5,1163,251.5
2024-10-25,inv0095,cus00010,pro0020,1509.26,1200,3,4527.78,3600,927.7799999999997
2024-10-25,inv0095,cus00010,pro0013,1785.78,1575,1,1785.78,1575,210.77999999999997
2024-10-25,inv0095,cus00010,pro0058,1221.99,983,5,6109.95,4915,1194.9499999999998
2024-10-25,inv0095,cus00010,pro0036,886.03,734,2,1772.06,1468,304.05999999999995
2023-04-03,inv0096,cus00958,pro0058,1221.99,983,2,2443.98,1966,477.98
